t , It
0.040100000000000004 , -0.0144538445858581
0.0402 , -0.0132751723539922
0.0403 , -0.0120863235782446
0.040400000000000005 , -0.0108898511687228
0.0405 , -0.00968828726985986
0.040600000000000004 , -0.00848413842492488
0.0407 , -0.00727988086098956
0.0408 , -0.00607795590219041
0.0409 , -0.00488076551876507
0.041 , -0.00369066801894840
0.041100000000000005 , -0.00250997389043540
0.0412 , -0.00134094179771118
0.0413 , -0.000185774741146488
0.0414 , 0.000953383616650998
0.0415 , 0.00207445245216450
0.041600000000000005 , 0.00317541710531997
0.0417 , 0.00425433222264243
0.041800000000000004 , 0.00530932471541559
0.0419 , 0.00633859652947596
0.042 , 0.00734042722370454
0.042100000000000005 , 0.00831317635470111
0.0422 , 0.00925528566556356
0.042300000000000004 , 0.0101652810771131
0.0424 , 0.0110417744803349
0.0425 , 0.0118834653292226
0.0426 , 0.0126891420336292
0.0427 , 0.0134576831521410
0.042800000000000005 , 0.0141880583853931
0.0429 , 0.0148793293706458
0.043000000000000003 , 0.0155306502788289
0.0431 , 0.0161412682156494
0.0432 , 0.0167105234287260
0.043300000000000005 , 0.0172378493230839
0.0434 , 0.0177227722876963
0.043500000000000004 , 0.0181649113361041
0.0436 , 0.0185639775644795
0.0437 , 0.0189197734308195
0.0438 , 0.0192321918592689
0.0439 , 0.0195012151738654
0.044000000000000004 , 0.0197269138662887
0.0441 , 0.0199094452024632
0.0442 , 0.0200490516731230
0.0443 , 0.0201460592936929
0.0444 , 0.0202008757590651
0.044500000000000005 , 0.0202139884590699
0.0446 , 0.0201859623606363
0.044700000000000004 , 0.0201174377628235
0.0448 , 0.0200091279310754
0.0449 , 0.0198618166172042
0.045000000000000005 , 0.0196763554717480
0.0451 , 0.0194536613554713
0.045200000000000004 , 0.0191947135568865
0.0453 , 0.0189005509227659
0.0454 , 0.0185722689086921
0.0455 , 0.0182110165567565
0.0456 , 0.0178179934075626
0.045700000000000005 , 0.0173944463537209
0.0458 , 0.0169416664420422
0.0459 , 0.0164609856316327
0.046 , 0.0159537735150876
0.0461 , 0.0154214340099467
0.046200000000000005 , 0.0148654020275376
0.0463 , 0.0142871401262776
0.046400000000000004 , 0.0136881351564320
0.0465 , 0.0130698949032508
0.0466 , 0.0124339447353049
0.046700000000000005 , 0.0117818242647405
0.0468 , 0.0111150840260479
0.046900000000000004 , 0.0104352821798102
0.047 , 0.00974398124775767
0.0471 , 0.00904274488529550
0.0472 , 0.00833313469751534
0.0473 , 0.00761670710452134
0.047400000000000005 , 0.00689501026172501
0.0475 , 0.00616958104056589
0.0476 , 0.00544194207491944
0.0477 , 0.00471359887824459
0.0478 , 0.00398603703630603
0.047900000000000005 , 0.00326071948008987
0.048 , 0.00253908384329700
0.048100000000000004 , 0.00182253990857035
0.0482 , 0.00111246714637038
